# idx  valid  type  x    y    CN  N
     0    0     RES      0     0    0   0
     1    0     END      0     0    0   0
     2    1     END     34    20    1   1
     3    1     OTR     34    21    2   2
     4    1     OTR     34    22    2   2
     5    1     OTR     34    23    2   2
     6    1     OTR     34    24    2   2
     7    1     END      8    25    1   1
     8    1     OTR     34    25    2   3
     9    1     END     36    25    1   1
    10    1     OTR      9    26    2   2
    11    1     BIF     34    26    3   3
    12    1     OTR     35    26    2   4
    13    1     OTR     10    27    2   2
    14    1     OTR     34    27    2   4
    15    1     OTR     11    28    2   2
    16    1     OTR     33    28    2   4
    17    1     BIF     34    28    3   3
    18    1     OTR     12    29    2   2
    19    1     OTR     32    29    2   2
    20    1     OTR     34    29    2   3
    21    1     OTR     13    30    2   2
    22    1     OTR     31    30    2   2
    23    1     OTR     34    30    2   2
    24    1     OTR     14    31    2   2
    25    1     OTR     30    31    2   2
    26    1     OTR     34    31    2   2
    27    1     OTR     15    32    2   2
    28    1     OTR     29    32    2   2
    29    1     OTR     34    32    2   2
    30    1     OTR     16    33    2   2
    31    1     OTR     28    33    2   2
    32    1     OTR     34    33    2   2
    33    1     OTR     17    34    2   2
    34    1     OTR     27    34    2   2
    35    1     OTR     34    34    2   2
    36    1     OTR     18    35    2   2
    37    1     OTR     26    35    2   2
    38    1     OTR     34    35    2   2
    39    1     OTR     19    36    2   2
    40    1     OTR     25    36    2   2
    41    1     OTR     34    36    2   2
    42    1     OTR     20    37    2   2
    43    1     OTR     24    37    2   2
    44    1     OTR     34    37    2   2
    45    1     OTR     21    38    2   2
    46    1     OTR     23    38    2   2
    47    1     OTR     34    38    2   2
    48    1     BIF     22    39    3   3
    49    1     OTR     34    39    2   2
    50    1     OTR     22    40    2   2
    51    1     OTR     34    40    2   2
    52    1     OTR     22    41    2   2
    53    1     OTR     34    41    2   2
    54    1     OTR     22    42    2   2
    55    1     OTR     34    42    2   2
    56    1     OTR     22    43    2   2
    57    1     OTR     34    43    2   2
    58    1     OTR     22    44    2   2
    59    1     OTR     34    44    2   2
    60    1     OTR     22    45    2   2
    61    1     OTR     34    45    2   2
    62    1     OTR     22    46    2   2
    63    1     OTR     34    46    2   2
    64    1     OTR     22    47    2   2
    65    1     OTR     34    47    2   2
    66    1     OTR     22    48    2   2
    67    1     OTR     34    48    2   2
    68    1     OTR     22    49    2   2
    69    1     OTR     34    49    2   2
    70    1     OTR     22    50    2   2
    71    1     OTR     34    50    2   2
    72    1     OTR     22    51    2   2
    73    1     OTR     34    51    2   2
    74    1     OTR     22    52    2   2
    75    1     OTR     34    52    2   2
    76    1     OTR     22    53    2   2
    77    1     OTR     34    53    2   2
    78    1     END     22    54    1   1
    79    1     OTR     34    54    2   2
    80    1     OTR     34    55    2   2
    81    1     OTR     34    56    2   2
    82    1     OTR     34    57    2   2
    83    1     OTR     34    58    2   4
    84    1     END     10    59    1   1
    85    1     OTR     11    59    2   2
    86    1     OTR     12    59    2   2
    87    1     OTR     13    59    2   2
    88    1     OTR     14    59    2   2
    89    1     OTR     15    59    2   2
    90    1     OTR     16    59    2   2
    91    1     OTR     17    59    2   2
    92    1     OTR     18    59    2   2
    93    1     OTR     19    59    2   2
    94    1     OTR     20    59    2   2
    95    1     OTR     21    59    2   2
    96    1     OTR     22    59    2   2
    97    1     OTR     23    59    2   2
    98    1     OTR     24    59    2   2
    99    1     OTR     25    59    2   2
   100    1     OTR     26    59    2   2
   101    1     OTR     27    59    2   2
   102    1     OTR     28    59    2   2
   103    1     OTR     29    59    2   2
   104    1     OTR     30    59    2   2
   105    1     OTR     31    59    2   2
   106    1     OTR     32    59    2   2
   107    1     OTR     33    59    2   4
   108    1     OTR     34    59    4   4
   109    1     OTR     35    59    2   4
   110    1     OTR     36    59    2   2
   111    1     OTR     37    59    2   2
   112    1     OTR     38    59    2   2
   113    1     OTR     39    59    2   2
   114    1     OTR     40    59    2   2
   115    1     OTR     41    59    2   2
   116    1     OTR     42    59    2   2
   117    1     OTR     43    59    2   2
   118    1     OTR     44    59    2   2
   119    1     OTR     45    59    2   2
   120    1     OTR     46    59    2   2
   121    1     OTR     47    59    2   2
   122    1     OTR     48    59    2   2
   123    1     OTR     49    59    2   2
   124    1     OTR     50    59    2   2
   125    1     OTR     51    59    2   2
   126    1     OTR     52    59    2   2
   127    1     OTR     53    59    2   2
   128    1     OTR     54    59    2   2
   129    1     OTR     55    59    2   2
   130    1     OTR     56    59    2   2
   131    1     END     57    59    1   1
   132    1     OTR     34    60    2   4
   133    1     OTR     34    61    2   2
   134    1     OTR     34    62    2   2
   135    1     OTR     34    63    2   2
   136    1     OTR     34    64    2   2
   137    1     OTR     34    65    2   2
   138    1     OTR     34    66    2   2
   139    1     OTR     34    67    2   2
   140    1     OTR     34    68    2   2
   141    1     OTR     34    69    2   2
   142    1     OTR     34    70    2   2
   143    1     OTR     34    71    2   2
   144    1     OTR     34    72    2   2
   145    1     OTR     34    73    2   2
   146    1     OTR     34    74    2   2
   147    1     OTR     34    75    2   2
   148    1     OTR     34    76    2   2
   149    1     OTR     34    77    2   2
   150    1     OTR     34    78    2   2
   151    1     OTR     34    79    2   2
   152    1     OTR     34    80    2   2
   153    1     OTR     34    81    2   2
   154    1     OTR     34    82    2   2
   155    1     OTR     34    83    2   2
   156    1     OTR     34    84    2   2
   157    1     OTR     34    85    2   2
   158    1     OTR     34    86    2   2
   159    1     OTR     34    87    2   2
   160    1     OTR     34    88    2   2
   161    1     OTR     34    89    2   2
   162    1     OTR     34    90    2   2
   163    1     OTR     34    91    2   2
   164    1     OTR     34    92    2   2
   165    1     OTR     34    93    2   2
   166    1     OTR     34    94    2   2
   167    1     OTR     34    95    2   2
